LAT,LONG,StationName
22.716667,90.366667,Barisal
22.683333,90.65,Bhola
24.85,89.366667,Bogra
23.433333,91.183333,Comilla
21.45,91.966667,Cox's bazar
23.766667,90.383333,Dhaka
23.6,89.85,Foridpur
23.033333,91.416667,Feni
23.2,89.333333,Jessor
22.783333,89.53,Khulna
23.166667,90.183333,Madaripur
24.733333,90.416667,Mymensingh
22.333333,90.333333,Patuakhali
24.366667,88.7,Rajshahi
22.633333,92.15,Rangamati
25.733333,89.266667,Rangpur
22.483333,91.433333,Sandwip
22.633333,91.7,Sitakunda
24.9,91.883333,Sylhet
20.866667,92.3,Teknaf
